nro	fecha	tipo_operacion	sentido	referencia	origen_documento	cantidad_movimiento	delta_existencias	saldo_existencias_corrido	ubicacion_origen	ubicacion_destino	codigo_picking	motivo
10	2026-04-07 13:48:06	PICK_EXPEDICION	SALIDA	CEN/PICK/00560	S01754	6	-6	-132	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00560). Origen: S01754.
11	2026-04-08 12:53:12	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00024		120	-120	-252	CEN/Existencias	B2/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00024). Destino: B2/Existencias.
12	2026-04-08 13:10:20	PICK_EXPEDICION	SALIDA	CEN/PICK/00660	S01827	12	-12	-264	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00660). Origen: S01827.
13	2026-04-08 18:32:13	PICK_EXPEDICION	SALIDA	CEN/PICK/00689	S01851	12	-12	-276	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00689). Origen: S01851.
14	2026-04-08 18:32:23	PICK_EXPEDICION	SALIDA	CEN/PICK/00687	S01813	24	-24	-300	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00687). Origen: S01813.
15	2026-04-10 13:11:44	PICK_EXPEDICION	SALIDA	CEN/PICK/00912	S02052	12	-12	-312	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00912). Origen: S02052.
16	2026-04-10 13:11:51	PICK_EXPEDICION	SALIDA	CEN/PICK/00911	S02166	1	-1	-313	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00911). Origen: S02166.
17	2026-04-10 16:16:22	PICK_EXPEDICION	SALIDA	CEN/PICK/00741	S01775	1	-1	-314	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00741). Origen: S01775.
18	2026-04-10 19:01:00	PICK_EXPEDICION	SALIDA	CEN/PICK/00948	S01950	12	-12	-326	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00948). Origen: S01950.
19	2026-04-10 19:01:00	PICK_EXPEDICION	SALIDA	CEN/PICK/00950	S01981	12	-12	-338	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00950). Origen: S01981.
20	2026-04-10 21:23:24	PICK_EXPEDICION	SALIDA	CEN/PICK/01003	S01971	6	-6	-344	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01003). Origen: S01971.
21	2026-04-13 17:42:26	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00066		45	-45	-389	CEN/Existencias	B1/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00066). Destino: B1/Existencias.
22	2026-04-14 13:51:14	PICK_EXPEDICION	SALIDA	CEN/PICK/01085	S02288	6	-6	-395	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01085). Origen: S02288.
23	2026-04-14 13:51:14	PICK_EXPEDICION	SALIDA	CEN/PICK/01117	S02346	12	-12	-407	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01117). Origen: S02346.
24	2026-04-14 13:51:14	PICK_EXPEDICION	SALIDA	CEN/PICK/01115	S02338	6	-6	-413	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01115). Origen: S02338.
